region,riverBasin,Variable,2020,2060
China,AmuDaryaR,OtherNotArable,0.017959,0.017959
China,AmuDaryaR,Managed_Pasture,0.00131477,0.001703
China,AmuDaryaR,Unmanaged_Pasture,0.0257742,0.025386
Pakistan,AmuDaryaR,OtherNotArable,0.00614701,0.00614701
Pakistan,AmuDaryaR,Managed_Pasture,7.63E-04,7.79E-04
Pakistan,AmuDaryaR,Unmanaged_Pasture,1.75E-05,1.98E-06
South Asia,AmuDaryaR,Cropland,1.396542043,1.563904397
South Asia,AmuDaryaR,Managed_Forest,0.0169289,0.0146135
South Asia,AmuDaryaR,Unmanaged_Forest,0.02215079,0.0212115
South Asia,AmuDaryaR,Grassland,2.740118,2.676199
South Asia,AmuDaryaR,OtherArable,1.64462,1.22062
South Asia,AmuDaryaR,OtherNotArable,1.297973,1.297973
South Asia,AmuDaryaR,Managed_Pasture,0.407894,1.11663
South Asia,AmuDaryaR,Unmanaged_Pasture,6.719358,6.384942
South Asia,AmuDaryaR,Shrubland,2.165179,2.114672
Central Asia,AmurR,Cropland,0.149198769,0.163847779
Central Asia,AmurR,Managed_Forest,0.0185955,0.0260037
Central Asia,AmurR,Unmanaged_Forest,0.0613879,0.0595693
Central Asia,AmurR,Grassland,4.47805,4.45369
Central Asia,AmurR,OtherArable,0.0207472,0.0198154
Central Asia,AmurR,OtherNotArable,0.001567,0.001567
Central Asia,AmurR,Managed_Pasture,0.254269,0.410658
Central Asia,AmurR,Unmanaged_Pasture,12.32836,12.18482
Central Asia,AmurR,Shrubland,1.432603,1.424808
China,AmurR,Cropland,13.28772902,13.43017822
China,AmurR,Managed_Forest,8.08926,10.0681
China,AmurR,Unmanaged_Forest,6.5807,6.15929
China,AmurR,Grassland,26.2685,25.65872
China,AmurR,OtherArable,4.32256,4.1109
China,AmurR,OtherNotArable,0.331925,0.331925
China,AmurR,Managed_Pasture,1.01271,1.20322
China,AmurR,Unmanaged_Pasture,20.28058,19.39216
China,AmurR,Shrubland,7.77748,7.59694
Russia,AmurR,Cropland,1.498887389,2.825693532
Russia,AmurR,Managed_Forest,3.2764,4.57914
Russia,AmurR,Unmanaged_Forest,43.755,42.4452
Russia,AmurR,Grassland,25.5667,25.0917
Russia,AmurR,OtherArable,3.43529,3.13499
Russia,AmurR,OtherNotArable,0.458343,0.458343
Russia,AmurR,Managed_Pasture,0.223656,0.274897
Russia,AmurR,Unmanaged_Pasture,13.41677,12.97123
Russia,AmurR,Shrubland,8.07878,7.92867
Africa_Southern,AngolaCst,Cropland,3.213166137,6.275806447
Africa_Southern,AngolaCst,Managed_Forest,2.1187,2.90462
Africa_Southern,AngolaCst,Unmanaged_Forest,6.813232911,6.284198741
