GLU_Name,reg_id,basin_id,key,reg_nm,Reg8,EmissionType,MaxLine,MinLine,LineType
NigerR,5,149,5149,Africa_Western,AFR,AllPositive,HWSD,SG17,StepDown
NileR,2,87,2087,Africa_Eastern,AFR,AllPositive,Houghton,SG17,StepDown
NileR,5,87,5087,Africa_Western,AFR,AllPositive,SG20,HWSD,StepDown
RiftValley,4,179,4179,Africa_Southern,AFR,AllPositive,SG17,HWSD,StepDown
GangesR,27,110,27110,South Asia,XAS,AllPositive,SG17,HWSD,StepDown
VoltaR,5,160,5160,Africa_Western,AFR,AllPositive,Houghton,HWSD,StepDown
ZambeziR,4,188,4188,Africa_Southern,AFR,AllPositive,SG17,Houghton,StepDown
MalaysiaP,29,139,29139,Southeast Asia,XAS,AllPositive,FAO,HWSD,StepDown
SenegalR,5,152,5152,Africa_Western,AFR,AllPositive,Houghton,SG17,StepDown
MeditE,21,75,21075,Middle East,ROW,AllPositive,Houghton,FAO,StepDown
OrinocoR,25,156,25156,South America_Northern,XLM,AllPositive,Houghton,HWSD,StepDown
RioLaPlata,7,206,7206,Brazil,BRA,AllPositive,SG17,SG20,StepDown
Salween,29,127,29127,Southeast Asia,XAS,AllPositive,SG17,HWSD,StepDown
SAmerCstN,25,143,25143,South America_Northern,XLM,AllPositive,HWSD,SG20,StepDown
SAmerCstNE,25,161,25161,South America_Northern,XLM,AllPositive,HWSD,SG17,StepDown
SaoFrancR,7,192,7192,Brazil,BRA,AllPositive,SG17,HWSD,StepDown
SittaungR,29,138,29138,Southeast Asia,XAS,AllPositive,SG17,HWSD,StepDown
ThaiGulf,29,148,29148,Southeast Asia,XAS,AllPositive,SG17,HWSD,StepDown
UsaCstE,1,233,1233,USA,USA,AllPositive,SG17,FAO,StepDown
VietnamCst,29,126,29126,Southeast Asia,XAS,AllPositive,SG17,HWSD,StepDown
BengalBay,17,116,17116,India,XAS,AllPositive,SG17,FAO,Trough
Scotland,13,16,13016,EU-15,EUR,AllPositive,SG20,SG17,Trough
BlackSeaN,10,47,10047,Central Asia,XAS,Zero,,,
BoHai,29,66,29066,Southeast Asia,XAS,Complex,SG17,HWSD,
CaspianSW,15,72,15072,Europe_Non_EU,ROW,Zero,,,
FranceCstS,13,61,13061,EU-15,EUR,Zero,,,
Helmand,22,97,22097,Pakistan,XAS,Zero,,,
MeditE,12,75,12075,EU-12,EUR,Zero,,,
NewCaledn,29,185,29185,Southeast Asia,XAS,Zero,,,
ObR,10,56,10056,Central Asia,XAS,Complex,Houghton,FAO,
OderR,13,29,13029,EU-15,EUR,Zero,,,
RhineR,16,32,16032,European Free Trade Association,ROW,Zero,,,
RioGrande,1,231,1231,USA,USA,Zero,,,
SriLanka,27,154,27154,South Asia,XAS,Complex,FAO,HWSD,
Sumatra,18,163,18163,Indonesia,XAS,Complex,FAO,Houghton,
XunJiang,29,108,29108,Southeast Asia,XAS,Zero,,,
AdrBlkSea,13,55,13055,EU-15,EUR,Complex,SG17,HWSD,
AmuDaryaR,10,58,10058,Central Asia,XAS,Complex,FAO,SG17,
AmuDaryaR,27,58,27058,South Asia,XAS,Complex,Houghton,SG17,
AmurR,11,43,11043,China,CHN,Complex,HWSD,SG17,
AmurR,23,43,23043,Russia,ROW,Complex,SG17,Houghton,
ArabianP,21,94,21094,Middle East,ROW,Complex,Houghton,HWSD,
ArabianSea,22,104,22104,Pakistan,XAS,Complex,Houghton,SG20,
ArcticIsl,13,1,13001,EU-15,EUR,Complex,FAO,Houghton,
ArgCstN,31,210,31210,Argentina,XLM,Complex,Houghton,FAO,
ArgCstS,31,215,31215,Argentina,XLM,Complex,Houghton,HWSD,
ArkWhtRedR,1,224,1224,USA,USA,Complex,Houghton,FAO,
AusCstE,6,189,6189,Australia_NZ,XAS,Complex,Houghton,SG17,
AusCstN,6,184,6184,Australia_NZ,XAS,Complex,Houghton,SG20,
AusInt,6,193,6193,Australia_NZ,XAS,Complex,SG17,Houghton,
BarentsSea,23,9,23009,Russia,ROW,Complex,SG17,HWSD,
BlackSeaN,23,47,23047,Russia,ROW,Complex,SG17,Houghton,
BlackSeaS,15,70,15070,Europe_Non_EU,ROW,Complex,Houghton,HWSD,
CanAtl,8,19,8019,Canada,ROW,Complex,SG17,SG20,
CaspianE,10,52,10052,Central Asia,XAS,Complex,SG20,Houghton,
CaspianE,21,52,21052,Middle East,ROW,Complex,SG17,HWSD,
CaspianNE,23,45,23045,Russia,ROW,Complex,SG17,FAO,
CaspianSW,21,72,21072,Middle East,ROW,Complex,Houghton,FAO,
CauveryR,17,153,17153,India,XAS,Complex,SG17,HWSD,
DaugavaR,12,25,12025,EU-12,EUR,Complex,SG17,SG20,
DaugavaR,23,25,23025,Russia,ROW,Complex,SG17,SG20,
DeadSea,21,95,21095,Middle East,ROW,Complex,Houghton,HWSD,
DniesterR,14,49,14049,Europe_Eastern,ROW,Complex,HWSD,SG20,
DonR,14,53,14053,Europe_Eastern,ROW,Complex,SG17,Houghton,
DonR,23,53,23053,Russia,ROW,Complex,SG17,Houghton,
DouroR,13,74,13074,EU-15,EUR,Complex,HWSD,FAO,
DvinaRN,23,14,23014,Russia,ROW,Complex,FAO,SG17,
EngWales,13,26,13026,EU-15,EUR,Complex,SG17,SG20,
Finland,13,13,13013,EU-15,EUR,Complex,HWSD,SG20,
GodavariR,17,123,17123,India,XAS,Complex,SG17,FAO,
